iter	Passed	Remaining
0	134	134328
1	135	67429
2	135	45119
3	136	33946
4	136	27236
5	137	22778
6	138	19587
7	138	17189
8	139	15323
9	139	13831
10	140	12609
11	140	11590
12	141	10729
13	141	9989
14	142	9347
15	142	8784
16	143	8293
17	144	7857
18	144	7468
19	145	7114
20	145	6795
21	146	6509
22	146	6240
23	147	5997
24	148	5773
25	148	5564
26	149	5370
27	149	5192
28	150	5026
29	150	4874
30	151	4729
31	151	4592
32	152	4465
33	152	4345
34	153	4231
35	154	4124
36	154	4023
37	155	3927
38	155	3835
39	156	3748
40	156	3664
41	157	3586
42	157	3511
43	158	3440
44	158	3372
45	159	3307
46	160	3245
47	160	3190
48	161	3133
49	161	3077
50	162	3023
51	162	2970
52	163	2921
53	164	2873
54	164	2827
55	165	2788
56	166	2749
57	166	2708
58	167	2673
59	168	2634
60	168	2595
61	169	2559
62	169	2523
63	170	2488
64	170	2455
65	171	2423
66	171	2392
67	172	2362
68	173	2347
69	174	2318
70	175	2291
71	175	2264
72	176	2237
73	176	2212
74	177	2186
75	177	2162
76	178	2137
77	178	2113
78	179	2091
79	179	2068
80	180	2051
81	181	2034
82	182	2010
83	182	1994
84	183	1974
85	183	1955
86	184	1936
87	185	1917
88	185	1899
89	186	1881
90	186	1864
91	187	1847
92	187	1831
93	188	1815
94	188	1799
95	189	1783
96	189	1768
97	190	1753
98	191	1738
99	191	1724
100	192	1710
101	192	1696
102	193	1682
103	193	1669
104	194	1656
105	194	1642
106	195	1631
107	196	1619
108	196	1607
109	197	1598
110	198	1586
111	198	1574
112	199	1563
113	199	1552
114	200	1541
115	200	1530
116	201	1518
117	201	1508
118	202	1497
119	202	1487
120	203	1477
121	203	1466
122	204	1457
123	204	1447
124	205	1438
125	206	1429
126	206	1419
127	207	1411
128	207	1402
129	208	1393
130	208	1384
131	209	1375
132	209	1367
133	210	1358
134	210	1350
135	211	1342
136	211	1334
137	212	1326
138	212	1319
139	213	1311
140	213	1303
141	214	1294
142	214	1287
143	215	1280
144	215	1272
145	216	1265
146	216	1258
147	217	1251
148	218	1246
149	218	1240
150	219	1233
151	220	1228
152	220	1222
153	221	1215
154	221	1209
155	222	1202
156	222	1196
157	223	1190
158	223	1184
159	224	1178
160	224	1171
161	225	1165
162	226	1160
163	226	1155
164	227	1149
165	227	1143
166	228	1138
167	228	1132
168	229	1127
169	229	1122
170	230	1116
171	230	1111
172	231	1106
173	231	1101
174	232	1096
175	233	1092
176	233	1087
177	234	1082
178	234	1077
179	235	1072
180	235	1067
181	236	1062
182	237	1058
183	237	1053
184	237	1048
185	238	1043
186	238	1038
187	239	1034
188	239	1029
189	240	1025
190	241	1021
191	241	1017
192	242	1012
193	242	1009
194	243	1004
195	243	1000
196	244	996
197	244	992
198	245	988
199	246	984
200	246	979
201	246	975
202	247	971
203	248	968
204	248	965
205	249	961
206	250	957
207	250	954
208	251	951
209	251	947
210	252	944
211	253	940
212	253	936
213	254	933
214	254	929
215	255	925
216	255	922
217	256	919
218	256	916
219	257	912
220	257	909
221	258	905
222	258	902
223	259	898
224	259	895
225	260	892
226	260	888
227	261	885
228	261	882
229	262	878
230	263	876
231	263	872
232	264	869
233	264	866
234	265	863
235	265	860
236	266	857
237	266	854
238	267	851
239	267	848
240	268	845
241	268	842
242	269	839
243	270	836
244	270	834
245	271	831
246	271	828
247	272	825
248	272	823
249	273	820
250	274	817
251	274	815
252	275	812
253	275	810
254	276	807
255	276	804
256	277	802
257	278	799
258	278	796
259	279	794
260	279	791
261	280	789
262	280	786
263	281	783
264	281	781
265	282	778
266	282	776
267	283	773
268	283	771
269	284	769
270	284	766
271	285	764
272	286	761
273	286	759
274	287	757
275	288	755
276	288	753
277	289	750
278	289	748
279	290	746
280	290	744
281	291	741
282	291	739
283	292	737
284	292	734
285	293	732
286	294	730
287	294	728
288	295	726
289	295	723
290	296	721
291	296	719
292	297	717
293	297	715
294	298	713
295	299	711
296	299	709
297	300	706
298	300	704
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	304	692
305	304	690
306	305	688
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	670
316	310	668
317	311	667
318	311	665
319	312	663
320	312	661
321	313	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	649
327	316	648
328	316	646
329	317	644
330	317	642
331	318	640
332	319	639
333	319	637
334	320	635
335	321	634
336	321	632
337	322	630
338	322	629
339	323	627
340	324	626
341	324	624
342	325	623
343	325	621
344	326	619
345	327	618
346	327	616
347	328	615
348	328	613
349	329	611
350	329	609
351	330	608
352	331	607
353	331	605
354	332	604
355	333	602
356	333	600
357	334	599
358	334	597
359	335	596
360	335	594
361	336	593
362	337	591
363	337	589
364	338	588
365	338	587
366	339	585
367	340	584
368	340	582
369	341	581
370	341	579
371	342	578
372	342	576
373	343	575
374	344	573
375	344	571
376	344	570
377	345	568
378	346	567
379	346	565
380	347	564
381	347	562
382	348	561
383	348	559
384	349	558
385	350	556
386	350	555
387	351	554
388	351	552
389	352	551
390	352	549
391	353	548
392	354	546
393	354	545
394	355	544
395	355	542
396	356	541
397	356	539
398	357	538
399	358	537
400	358	536
401	359	534
402	359	533
403	360	531
404	360	530
405	361	528
406	362	527
407	362	525
408	362	524
409	363	523
410	364	521
411	364	520
412	365	518
413	365	517
414	366	516
415	366	514
416	367	513
417	367	512
418	368	510
419	369	509
420	369	508
421	370	507
422	370	505
423	371	504
424	372	503
425	372	502
426	373	500
427	373	499
428	374	498
429	374	496
430	375	495
431	375	494
432	376	493
433	377	491
434	377	490
435	378	489
436	378	488
437	379	486
438	379	485
439	380	484
440	381	483
441	381	481
442	382	480
443	382	479
444	383	478
445	384	477
446	384	475
447	385	474
448	385	473
449	386	472
450	386	471
451	387	469
452	387	468
453	388	467
454	388	465
455	389	464
456	389	463
457	390	461
458	390	460
459	391	459
460	391	458
461	392	457
462	392	455
463	393	454
464	394	453
465	394	452
466	394	450
467	395	449
468	395	448
469	396	447
470	396	445
471	397	444
472	397	443
473	398	441
474	398	440
475	399	439
476	399	438
477	400	437
478	400	436
479	401	434
480	401	433
481	402	432
482	402	431
483	403	430
484	403	428
485	404	427
486	404	426
487	405	425
488	405	423
489	406	422
490	406	421
491	407	420
492	407	419
493	408	418
494	408	417
495	409	415
496	409	414
497	410	413
498	410	412
499	411	411
500	411	410
501	412	408
502	412	407
503	413	406
504	413	405
505	414	404
506	414	403
507	415	402
508	415	401
509	416	399
510	416	398
511	417	397
512	417	396
513	418	395
514	418	394
515	419	393
516	419	392
517	420	390
518	420	389
519	421	388
520	421	387
521	422	386
522	422	385
523	423	384
524	423	383
525	424	382
526	424	381
527	425	380
528	425	378
529	426	377
530	426	376
531	427	375
532	427	374
533	427	373
534	428	372
